Query 	 Cited 	 DOC SIM

Q 1 	 C 1   1 	 0.25628967587594437 

Q 1 	 C 1   2 	 0.09684497124760164 

Q 1 	 C 1   3 	 0.2144119013480987 

Q 1 	 C 1   4 	 0.11568924583124092 

Q 1 	 C 1   5 	 0.25461524679777914 

Q 1 	 C 1   6 	 0.2511010135351654 

Q 1 	 C 1   7 	 0.27806280202170014 

Q 1 	 C 1   8 	 0.21584655206043674 

Q 1 	 C 1   9 	 0.22121304347468382 

Q 1 	 C 1   10 	 0.20238748906544896 

Q 2 	 C 2   1 	 0.16300711281358926 

Q 2 	 C 2   2 	 0.44364255001155034 

Q 2 	 C 2   3 	 0.20657391390952287 

Q 2 	 C 2   4 	 0.24704065139349163 

Q 2 	 C 2   5 	 0.27508398393989797 

Q 2 	 C 2   6 	 0.2689490684248763 

Q 2 	 C 2   7 	 0.24473665373593936 

Q 2 	 C 2   8 	 0.18861724831365384 

Q 2 	 C 2   9 	 0.19909344301710566 

Q 2 	 C 2   10 	 0.25016714719993577 

Q 3 	 C 3   1 	 0.3202674018491528 

Q 3 	 C 3   2 	 0.31746881638596014 

Q 3 	 C 3   3 	 0.2784229461067989 

Q 3 	 C 3   4 	 0.3772703191941109 

Q 3 	 C 3   5 	 0.15313778906976458 

Q 3 	 C 3   6 	 0.3285852783271318 

Q 3 	 C 3   7 	 0.18568571498442454 

Q 3 	 C 3   8 	 0.37597862110527397 

Q 3 	 C 3   9 	 0.2682902996965525 

Q 3 	 C 3   10 	 0.2799149679635039 

Q 4 	 C 4   1 	 0.14556023087002667 

Q 4 	 C 4   2 	 0.21055322791549053 

Q 4 	 C 4   3 	 0.2241147543928371 

Q 4 	 C 4   4 	 0.045646582055155385 

Q 4 	 C 4   5 	 0.056473094568959416 

Q 4 	 C 4   6 	 0.09831702766624051 

Q 4 	 C 4   7 	 0.3696866619685691 

Q 4 	 C 4   8 	 0.23250886494827783 

Q 4 	 C 4   9 	 0.34858046432805107 

Q 4 	 C 4   10 	 0.18819619931206102 

Q 5 	 C 5   1 	 -0.07881702744309621 

Q 5 	 C 5   2 	 -0.07264663714539299 

Q 5 	 C 5   3 	 -0.014098617846794333 

Q 5 	 C 5   4 	 -0.11539386344002474 

Q 5 	 C 5   5 	 -0.08361055489341561 

Q 5 	 C 5   6 	 0.012868393906197872 

Q 5 	 C 5   7 	 -0.018147816941254072 

Q 5 	 C 5   8 	 -0.047564829330748286 

Q 5 	 C 5   9 	 0.07384605793352614 

Q 5 	 C 5   10 	 -0.023168964646105385 

Q 6 	 C 6   1 	 0.24115399972817386 

Q 6 	 C 6   2 	 0.1818837570603765 

Q 6 	 C 6   3 	 0.24168092152564777 

Q 6 	 C 6   4 	 0.16826167434176229 

Q 6 	 C 6   5 	 0.313053405432508 

Q 6 	 C 6   6 	 0.3246471859336416 

Q 6 	 C 6   7 	 0.26550211421771525 

Q 6 	 C 6   8 	 0.2515215854118826 

Q 6 	 C 6   9 	 0.24935813161083772 

Q 6 	 C 6   10 	 0.2332112536144149 

Q 7 	 C 7   1 	 0.25949622021854274 

Q 7 	 C 7   2 	 0.18303406613369874 

Q 7 	 C 7   3 	 0.18471203067112069 

Q 7 	 C 7   4 	 0.17351799174659535 

Q 7 	 C 7   5 	 0.31076839041414733 

Q 7 	 C 7   6 	 0.17378484035895497 

Q 7 	 C 7   7 	 0.25312099188669074 

Q 7 	 C 7   8 	 0.1970803171293221 

Q 7 	 C 7   9 	 0.16579711016923612 

Q 7 	 C 7   10 	 0.18497378763035646 

Q 8 	 C 8   1 	 0.04188521848951826 

Q 8 	 C 8   2 	 0.12260538715114354 

Q 8 	 C 8   3 	 0.10519186254779245 

Q 8 	 C 8   4 	 0.19181090711882295 

Q 8 	 C 8   5 	 0.14968776707514167 

Q 8 	 C 8   6 	 0.2833329156788804 

Q 8 	 C 8   7 	 0.04279901745348646 

Q 8 	 C 8   8 	 0.08276800539353332 

Q 8 	 C 8   9 	 0.09073288613798568 

Q 8 	 C 8   10 	 0.0802945940026802 

Q 9 	 C 9   1 	 0.23582899397356943 

Q 9 	 C 9   2 	 0.15511315252052832 

Q 9 	 C 9   3 	 0.13149997769100558 

Q 9 	 C 9   4 	 0.15093670964247957 

Q 9 	 C 9   5 	 0.1350684678963417 

Q 9 	 C 9   6 	 0.10699108822116911 

Q 9 	 C 9   7 	 0.2040319911341271 

Q 9 	 C 9   8 	 0.24511846598641354 

Q 9 	 C 9   9 	 0.2533668499530031 

Q 9 	 C 9   10 	 0.17237430123938244 

Q 10 	 C 10   1 	 0.24588822934958965 

Q 10 	 C 10   2 	 0.3087746669929024 

Q 10 	 C 10   3 	 0.28244134340572147 

Q 10 	 C 10   4 	 0.19909544444309743 

Q 10 	 C 10   5 	 0.2375874354867761 

Q 10 	 C 10   6 	 0.2765504227300464 

Q 10 	 C 10   7 	 0.1880798291944631 

Q 10 	 C 10   8 	 0.2142817353576159 

Q 10 	 C 10   9 	 0.1372073244489694 

Q 10 	 C 10   10 	 0.25652784603683143 

