C0101 , Q01-4000
C0102 , Q01-5000
C0103 , Q01-1000
C0104 , Q01-7000
C0105 , Q01-2000
C0106 , Q01-1000
C0107 , Q01-3000
C0108 , Q01-1000
C0109 , Q01-1000
C0110 , Q01-4000
C0201 , Q02-3000
C0202 , Q02-2000
C0203 , Q02-1000
C0204 , Q02-2000
C0205 , Q02-8000
C0206 , Q02-1000
C0207 , Q02-1000
C0208 , Q02-1000
C0209 , Q02-1000
C0210 , Q02-1000
C0301 , Q03-1000
C0302 , Q03-2000
C0303 , Q03-5000
C0304 , Q03-2000
C0305 , Q03-1000
C0306 , Q03-8000
C0307 , Q03-1000
C0308 , Q03-2000
C0309 , Q03-2000
C0310 , Q03-5000
C0401 , Q04-7000
C0402 , Q04-2000
C0403 , Q04-2000
C0404 , Q04-2000
C0405 , Q04-2000
C0406 , Q04-1000
C0407 , Q04-7000
C0408 , Q04-7000
C0409 , Q04-2000
C0410 , Q04-2000
C0501 , Q05-2000
C0502 , Q05-2000
C0503 , Q05-2000
C0504 , Q05-2000
C0505 , Q05-4000
C0506 , Q05-2000
C0507 , Q05-4000
C0508 , Q05-2000
C0509 , Q05-2000
C0510 , Q05-2000
C0601 , Q06-6000
C0602 , Q06-1000
C0603 , Q06-1000
C0604 , Q06-2000
C0605 , Q06-4000
C0606 , Q06-1000
C0607 , Q06-2000
C0608 , Q06-1000
C0609 , Q06-2000
C0610 , Q06-1000
C0701 , Q07-2000
C0702 , Q07-2000
C0703 , Q07-1000
C0704 , Q07-2000
C0705 , Q07-2000
C0706 , Q07-2000
C0707 , Q07-2000
C0708 , Q07-1000
C0709 , Q07-2000
C0710 , Q07-1000
C0801 , Q08-1000
C0802 , Q08-8000
C0803 , Q08-7000
C0804 , Q08-8000
C0805 , Q08-8000
C0806 , Q08-7000
C0807 , Q08-1000
C0808 , Q08-7000
C0809 , Q08-8000
C0810 , Q08-4000
C0901 , Q09-2000
C0902 , Q09-2000
C0903 , Q09-2000
C0904 , Q09-1000
C0905 , Q09-2000
C0906 , Q09-2000
C0907 , Q09-2000
C0908 , Q09-2000
C0909 , Q09-2000
C0910 , Q09-2000
C1001 , Q10-1000
C1002 , Q10-7000
C1003 , Q10-3000
C1004 , Q10-8000
C1005 , Q10-7000
C1006 , Q10-7000
C1007 , Q10-7000
C1008 , Q10-1000
C1009 , Q10-2000
C1010 , Q10-1000
