+------------+-----------+----------------------+
| Query file | Cite file |      similarity      |
+------------+-----------+----------------------+
|   C0101    |  Q01-4000 | 0.04064396938506202  |
|            |           |                      |
|   C0102    |  Q01-5000 | 0.038972041796102794 |
|            |           |                      |
|   C0103    |  Q01-1000 | 0.04500474447607428  |
|            |           |                      |
|   C0104    |  Q01-7000 | 0.044180118946474084 |
|            |           |                      |
|   C0105    |  Q01-2000 | 0.039602372935706266 |
|            |           |                      |
|   C0106    |  Q01-1000 | 0.04357525282569899  |
|            |           |                      |
|   C0107    |  Q01-3000 | 0.04494539344721367  |
|            |           |                      |
|   C0108    |  Q01-1000 | 0.041294642857142856 |
|            |           |                      |
|   C0109    |  Q01-1000 | 0.05789642972016726  |
|            |           |                      |
|   C0110    |  Q01-4000 | 0.03804481654764836  |
|            |           |                      |
|   C0201    |  Q02-3000 | 0.03446172613601708  |
|            |           |                      |
|   C0202    |  Q02-2000 | 0.02624618514750763  |
|            |           |                      |
|   C0203    |  Q02-1000 | 0.029400749063670413 |
|            |           |                      |
|   C0204    |  Q02-2000 | 0.038316400580551524 |
|            |           |                      |
|   C0205    |  Q02-8000 | 0.008889516015239171 |
|            |           |                      |
|   C0206    |  Q02-1000 | 0.026542450342766744 |
|            |           |                      |
|   C0207    |  Q02-1000 | 0.027576489533011273 |
|            |           |                      |
|   C0208    |  Q02-1000 | 0.026887966804979253 |
|            |           |                      |
|   C0209    |  Q02-1000 | 0.024257713953037066 |
|            |           |                      |
|   C0210    |  Q02-1000 | 0.028046612680229115 |
|            |           |                      |
|   C0301    |  Q03-1000 | 0.05263157894736842  |
|            |           |                      |
|   C0302    |  Q03-2000 | 0.05003474635163308  |
|            |           |                      |
|   C0303    |  Q03-5000 | 0.03921814308983836  |
|            |           |                      |
|   C0304    |  Q03-2000 | 0.04488357843137255  |
|            |           |                      |
|   C0305    |  Q03-1000 | 0.04529616724738676  |
|            |           |                      |
|   C0306    |  Q03-8000 | 0.047895500725689405 |
|            |           |                      |
|   C0307    |  Q03-1000 | 0.041818734793187345 |
|            |           |                      |
|   C0308    |  Q03-2000 | 0.03881831014317403  |
|            |           |                      |
|   C0309    |  Q03-2000 | 0.05017123287671233  |
|            |           |                      |
|   C0310    |  Q03-5000 | 0.04274481772694782  |
|            |           |                      |
|   C0401    |  Q04-7000 | 0.040900131406044676 |
|            |           |                      |
|   C0402    |  Q04-2000 | 0.03997549395006892  |
|            |           |                      |
|   C0403    |  Q04-2000 | 0.05116717755246404  |
|            |           |                      |
|   C0404    |  Q04-2000 | 0.005052327679538073 |
|            |           |                      |
|   C0405    |  Q04-2000 | 0.03663003663003663  |
|            |           |                      |
|   C0406    |  Q04-1000 | 0.040490447676076416 |
|            |           |                      |
|   C0407    |  Q04-7000 | 0.03652068495226549  |
|            |           |                      |
|   C0408    |  Q04-7000 | 0.03952463613299506  |
|            |           |                      |
|   C0409    |  Q04-2000 | 0.041628122109158186 |
|            |           |                      |
|   C0410    |  Q04-2000 |  0.0401656314699793  |
|            |           |                      |
|   C0501    |  Q05-2000 | 0.008870846489249736 |
|            |           |                      |
|   C0502    |  Q05-2000 | 0.021668884242539443 |
|            |           |                      |
|   C0503    |  Q05-2000 | 0.024173480270174193 |
|            |           |                      |
|   C0504    |  Q05-2000 | 0.02292441140024783  |
|            |           |                      |
|   C0505    |  Q05-4000 | 0.012929475587703436 |
|            |           |                      |
|   C0506    |  Q05-2000 | 0.028653846153846155 |
|            |           |                      |
|   C0507    |  Q05-4000 | 0.029807493272614366 |
|            |           |                      |
|   C0508    |  Q05-2000 | 0.023446222553033122 |
|            |           |                      |
|   C0509    |  Q05-2000 | 0.035918367346938776 |
|            |           |                      |
|   C0510    |  Q05-2000 | 0.02825836216839677  |
|            |           |                      |
|   C0601    |  Q06-6000 | 0.026237537169844324 |
|            |           |                      |
|   C0602    |  Q06-1000 | 0.02639175257731959  |
|            |           |                      |
|   C0603    |  Q06-1000 | 0.02301540862102594  |
|            |           |                      |
|   C0604    |  Q06-2000 | 0.02567237163814181  |
|            |           |                      |
|   C0605    |  Q06-4000 |  0.0221085327973689  |
|            |           |                      |
|   C0606    |  Q06-1000 | 0.028450766837074905 |
|            |           |                      |
|   C0607    |  Q06-2000 | 0.024768772534880076 |
|            |           |                      |
|   C0608    |  Q06-1000 | 0.023873517786561264 |
|            |           |                      |
|   C0609    |  Q06-2000 | 0.02674230145867099  |
|            |           |                      |
|   C0610    |  Q06-1000 | 0.023555027711797308 |
|            |           |                      |
|   C0701    |  Q07-2000 | 0.03346248679112364  |
|            |           |                      |
|   C0702    |  Q07-2000 | 0.030307445723444557 |
|            |           |                      |
|   C0703    |  Q07-1000 | 0.028159681961239025 |
|            |           |                      |
|   C0704    |  Q07-2000 | 0.02976190476190476  |
|            |           |                      |
|   C0705    |  Q07-2000 | 0.034967374937259495 |
|            |           |                      |
|   C0706    |  Q07-2000 | 0.03688052247406838  |
|            |           |                      |
|   C0707    |  Q07-2000 | 0.03901762725292137  |
|            |           |                      |
|   C0708    |  Q07-1000 | 0.027404718693284938 |
|            |           |                      |
|   C0709    |  Q07-2000 | 0.013917004048582995 |
|            |           |                      |
|   C0710    |  Q07-1000 | 0.029651593773165306 |
|            |           |                      |
|   C0801    |  Q08-1000 | 0.029069767441860465 |
|            |           |                      |
|   C0802    |  Q08-8000 | 0.024964080459770114 |
|            |           |                      |
|   C0803    |  Q08-7000 | 0.02990204502491837  |
|            |           |                      |
|   C0804    |  Q08-8000 | 0.031438684155735995 |
|            |           |                      |
|   C0805    |  Q08-8000 | 0.027527887729399063 |
