
Query 	 Cited 	 ave word emb sim
Q 1 	 C 1   1 	 0.14620604117711386
Q 1 	 C 1   2 	 0.22330531167487302
Q 1 	 C 1   3 	 0.10707896633539349
Q 1 	 C 1   4 	 0.1771636507473886
Q 1 	 C 1   5 	 0.16835631802678108
Q 1 	 C 1   6 	 0.14733325317502022
Q 1 	 C 1   7 	 0.1354641563569506
Q 1 	 C 1   8 	 0.22499295882880688
Q 1 	 C 1   9 	 0.15903032384812832
Q 1 	 C 1   10 	 0.1406624922528863
Q 2 	 C 2   1 	 0.15876059296230474
Q 2 	 C 2   2 	 0.15879377846916518
Q 2 	 C 2   3 	 0.12726424634456635
Q 2 	 C 2   4 	 0.19354538743694624
Q 2 	 C 2   5 	 0.1600878592580557
Q 2 	 C 2   6 	 0.23445974787076315
Q 2 	 C 2   7 	 0.16388330608606339
Q 2 	 C 2   8 	 0.1633647015939156
Q 2 	 C 2   9 	 0.2719771924118201
Q 2 	 C 2   10 	 0.11488477714980642
Q 3 	 C 3   1 	 0.15289462357759476
Q 3 	 C 3   2 	 0.09776085017559429
Q 3 	 C 3   3 	 0.11495648828955989
Q 3 	 C 3   4 	 0.13441309301803508
Q 3 	 C 3   5 	 0.1362815865625938
Q 3 	 C 3   6 	 0.13893940454969803
Q 3 	 C 3   7 	 0.15590361831709743
Q 3 	 C 3   8 	 0.17764516547322273
Q 3 	 C 3   9 	 0.14323825389146805
Q 3 	 C 3   10 	 0.14342435325185457
Q 4 	 C 4   1 	 0.1808429335554441
Q 4 	 C 4   2 	 0.16642329034705958
Q 4 	 C 4   3 	 0.13293764181435108
Q 4 	 C 4   4 	 0.1730763210604588
Q 4 	 C 4   5 	 0.1470956002982954
Q 4 	 C 4   6 	 0.10634763181830446
Q 4 	 C 4   7 	 0.2206994779407978
Q 4 	 C 4   8 	 0.12485395682354768
Q 4 	 C 4   9 	 0.131658007701238
Q 4 	 C 4   10 	 0.1557346855600675
Q 5 	 C 5   1 	 0.140954803985854
Q 5 	 C 5   2 	 0.13620634066561857
Q 5 	 C 5   3 	 0.14633583937150738
Q 5 	 C 5   4 	 0.20826236934711537
Q 5 	 C 5   5 	 0.16485472458104292
Q 5 	 C 5   6 	 0.17358080173532167
Q 5 	 C 5   7 	 0.11796606611460447
Q 5 	 C 5   8 	 0.11547577722618978
Q 5 	 C 5   9 	 0.1909555566186706
Q 5 	 C 5   10 	 0.1709212170292934
Q 6 	 C 6   1 	 0.18873232789337635
Q 6 	 C 6   2 	 0.14380841795355082
Q 6 	 C 6   3 	 0.21595346803466478
Q 6 	 C 6   4 	 0.22494384522239366
Q 6 	 C 6   5 	 0.13999030739068985
Q 6 	 C 6   6 	 0.14369859344636401
Q 6 	 C 6   7 	 0.16575772191087404
Q 6 	 C 6   8 	 0.12770590807000795
Q 6 	 C 6   9 	 0.2065628074730436
Q 6 	 C 6   10 	 0.15969461388885975
Q 7 	 C 7   1 	 0.14274178259074688
Q 7 	 C 7   2 	 0.11619865366568168
Q 7 	 C 7   3 	 0.16261117905378342
Q 7 	 C 7   4 	 0.13945028921201205
Q 7 	 C 7   5 	 0.15121058685084185
Q 7 	 C 7   6 	 0.12473578409602244
Q 7 	 C 7   7 	 0.15364420941720405
Q 7 	 C 7   8 	 0.16791032627224922
Q 7 	 C 7   9 	 0.13294043593729535
Q 7 	 C 7   10 	 0.12775253194073835
Q 8 	 C 8   1 	 0.14415946044027805
Q 8 	 C 8   2 	 0.14702059235423803
Q 8 	 C 8   3 	 0.10063528129830956
Q 8 	 C 8   4 	 0.17557604797184467
Q 8 	 C 8   5 	 0.15529017088313898
Q 8 	 C 8   6 	 0.1772045853237311
Q 8 	 C 8   7 	 0.1349381214628617
Q 8 	 C 8   8 	 0.12808142260958752
Q 8 	 C 8   9 	 0.14783027488738298
Q 8 	 C 8   10 	 0.1864946490774552
Q 9 	 C 9   1 	 0.19775033431748548
Q 9 	 C 9   2 	 0.14480714375774065
Q 9 	 C 9   3 	 0.15121155915160975
Q 9 	 C 9   4 	 0.164768868436416
Q 9 	 C 9   5 	 0.16839863235751787
Q 9 	 C 9   6 	 0.16619480960071087
Q 9 	 C 9   7 	 0.1541063915938139
Q 9 	 C 9   8 	 0.25204697748025257
Q 9 	 C 9   9 	 0.14672378823161125
Q 9 	 C 9   10 	 0.1785336056103309
Q 10 	 C 10   1 	 0.26354017729560536
Q 10 	 C 10   2 	 0.14436207773784795
Q 10 	 C 10   3 	 0.1600033063441515
Q 10 	 C 10   4 	 0.16521929949522018
Q 10 	 C 10   5 	 0.14225460619976124
Q 10 	 C 10   6 	 0.14367095567286015
Q 10 	 C 10   7 	 0.16712923937787613
Q 10 	 C 10   8 	 0.15141767946382365
Q 10 	 C 10   9 	 0.2017072153588136
Q 10 	 C 10   10 	 0.21149296189347902
